|Gl 472          |HIP 61291    |12 33 31.38|-68 45 20.9|2MASS J12333137-6845211| 5.626| 5.231| 5.067|
|Gl 340.1 B      |Wo 9294 B    |09 17 17.22|-68 41 22.8|2MASS J09171723-6841227| 4.805| 4.567| 4.383|
|Gl 340.1 A      |Wo 9294 A    |09 17 17.23|-68 41 22.7|2MASS J09171723-6841227| 4.805| 4.567| 4.383|
|Gl 97.1         |Wo 9080      |02 21 44.94|-68 39 33.9|2MASS J02214494-6839338| 4.083| 3.984| 3.957|
|Gl 127.1 A      |HIP 14754    |03 10 31.02|-68 36 03.4|2MASS J03103100-6836032|11.758|11.790|11.861|
|GJ 2107         |HIP 70308    |14 23 06.40|-68 22 57.6|2MASS J14230639-6822577| 7.421| 6.815| 6.559|
|GJ 1294 B       |HIP 169 B    |00 02 09.35|-68 16 53.2|2MASS J00020939-6816534|      | 6.629|      |
|GJ 1294 A       |HIP 169 A    |00 02 08.73|-68 16 50.8|2MASS J00020875-6816509| 6.736| 6.113| 5.896|
|GJ 1262         |HIP 105712   |21 24 40.64|-68 13 40.2|2MASS J21244063-6813402| 5.651| 5.297| 5.216|
|GJ 2149         |             |20 44 21.47|-68 05 21.4|2MASS J20442148-6805215|13.729|13.806|13.800|
|GJ 3018 A       |             |00 15 51.48|-67 59 51.8|2MASS J00155156-6759519| 7.795| 7.211| 6.949|
|GJ 3019 B       |             |00 15 43.46|-67 59 36.2|2MASS J00154354-6759362| 8.804| 8.257| 8.020|
|Wo 9402         |HIP 59929    |12 17 34.28|-67 57 38.7|2MASS J12173426-6757385|-0.163|-1.195|-1.500|
|Gl 558.1        |Wo 9487      |14 37 46.26|-67 55 55.3|2MASS J14374625-6755554| 5.172| 4.905| 4.775|
|GJ 3422         |HIP 33682    |06 59 50.54|-67 54 59.2|2MASS J06595055-6754591| 2.934| 2.306| 2.110|
|Gl 3            |HIP 436      |00 05 17.69|-67 49 57.3|2MASS J00051767-6749577| 6.440| 5.885| 5.714|
|Gl 293          |             |07 53 08.16|-67 47 31.5|2MASS J07530814-6747314|12.726|12.476|12.362|
|GJ 1279         |HIP 114361   |23 09 40.95|-67 43 58.2|2MASS J23094094-6743581| 6.084| 5.460| 5.325|
|Wo 9732         |HIP 105336   |21 20 09.80|-67 39 05.6|2MASS J21200974-6739054| 7.724| 7.069| 6.834|
|Gl 54           |HIP 5496     |01 10 22.90|-67 26 41.8|2MASS J01102281-6726425| 5.997| 5.409| 5.132|
|Gl 776          |HIP 98959    |20 05 32.76|-67 19 15.2|2MASS J20053286-6719156| 5.108| 4.724| 4.511|
|GJ 3112         |             |01 43 00.98|-67 18 30.3|2MASS J01430103-6718293|12.867|12.659|12.579|
|GJ 4322 B       |HIP 114980   |23 17 17.36|-66 56 16.4|2MASS J23171735-6656164| 7.074| 6.549| 6.387|
|GJ 4321 A       |HIP 114986   |23 17 20.80|-66 55 09.5|2MASS J23172081-6655094| 6.868| 6.355| 6.211|
|Gl 110          |HIP 12717 A  |02 43 26.61|-66 42 51.3|2MASS J02432662-6642515| 5.164| 4.840| 4.730|
|Gl 85           |             |02 07 23.26|-66 34 11.6|2MASS J02072345-6634113| 8.132| 7.613| 7.364|
|Gl 756.1        |HIP 95467    |19 25 09.57|-66 28 07.7|2MASS J19250951-6628075| 6.664| 6.243| 6.094|
|Gl 333.3        |Wo 9284      |09 02 26.80|-66 23 45.9|2MASS J09022678-6623460| 3.911| 3.741| 3.883|
|GJ 3483         |             |08 06 53.74|-66 18 16.7|2MASS J08065373-6618167|13.704|13.739|13.781|
|GJ 2092         |             |12 26 42.02|-66 12 18.5|2MASS J12264202-6612186|13.334|13.257|13.297|
|Gl 780          |HIP 99240    |20 08 43.61|-66 10 55.4|2MASS J20084376-6610563| 2.299| 2.041| 1.933|
|GJ 3499         |HIP 41312    |08 25 44.19|-66 08 12.8|2MASS J08254423-6608127| 1.864| 1.310| 1.188|
|GJ 3476         |HIP 39342    |08 02 31.19|-66 01 15.4|2MASS J08023117-6601153| 5.647| 5.234| 5.115|
|GJ 3006         |HIP 523      |00 06 19.18|-65 50 25.9|2MASS J00061920-6550262| 8.479| 7.839| 7.631|
|GJ 4285         |             |22 38 02.92|-65 50 08.9|2MASS J22380290-6550088|10.183| 9.670| 9.406|
